genre,bars_confidence,bars_start,beats_confidence,beats_start,sections_confidence,sections_start,segments_confidence,segments_loudness_max,segments_loudness_max_time,segments_loudness_start,segments_pitches,segments_start,segments_timbre,songs,tatums_confidence,tatums_start,artist_terms,artist_terms_freq,artist_terms_weight,similar_artists,songs2,artist_mbtags,artist_mbtags_count,songs3
Rap,0.172096386,108.1639561,0.611462209,108.983384,0.4771,94.041341,0.696676622,-13.57834192,0.058936653,-24.22585891,0.36525206,108.114023,4.161966358,NA,0.455732558,108.8244925,NA,0.563869117,0.681587766,NA,NA,NA,NA,NA
Latin,0.430549828,86.79624993,0.430549828,86.79624993,0.451875,83.6541375,0.524937722,-11.09141993,0.080291495,-18.61057295,0.309581702,86.83902859,2.085317467,NA,0.332560137,86.64726254,NA,0.756399847,0.797736058,NA,NA,NA,NA,NA
Rock,0.118608696,115.9885321,0.621876623,116.743008,0.325818182,102.6541145,0.52219732,-11.11493423,0.05560363,-17.19901462,0.367716606,112.635205,10.63986967,NA,0.260191558,116.617431,NA,0.720027379,0.756452017,NA,NA,NA,1,NA
Rock,0.139043011,130.2967212,0.283727034,133.3998435,0.415166667,129.4908917,0.396089912,-16.50077961,0.066299057,-21.77864583,0.405690607,129.6932928,2.952611202,NA,0.178847669,133.5738186,NA,0.630218086,0.757063563,NA,NA,NA,NA,NA
Latin,0.062816667,111.0586815,0.542527835,111.9816347,0.611083333,101.9606983,0.743271885,-7.617511843,0.046736251,-19.02798867,0.323756522,111.4472606,0.870059818,NA,0.700409887,111.9816406,NA,0.598687403,0.669326652,NA,NA,NA,NA,NA
Rock,0.143764228,246.6711777,0.413669697,247.8320658,0.568941176,236.8562524,0.64129484,-12.97675491,0.046763514,-22.4333059,0.323716114,242.3759435,-0.729311169,NA,0.433203937,247.8309569,NA,0.717694005,0.689994715,NA,NA,NA,1.25,NA
Rock,0.206666667,141.686646,0.546410364,142.6888483,0.655071429,127.9660929,0.528426683,-8.013008413,0.053369856,-14.65981971,0.262845753,143.8831542,5.531945313,NA,0.231602241,142.7889122,NA,0.707925649,0.772873789,NA,NA,NA,NA,NA
Metal,0.09521831,102.4971087,0.347033217,103.0366459,0.639727273,87.29018,0.437819193,-6.15522114,0.055333338,-11.79926982,0.477806792,98.98095019,4.487929879,NA,0.239532343,102.946667,NA,0.413380935,0.490119107,NA,NA,NA,1,NA
RnB,0.140615764,167.9749994,0.4195552,169.1677687,0.592625,122.7632425,0.480282051,-17.35224749,0.080251728,-23.56517726,0.270614177,176.267484,-1.43952146,NA,0.1303136,169.0320818,NA,0.805762654,0.79339287,NA,NA,NA,1,NA
Rock,0.150851449,239.5542379,0.15364557,240.6408239,0.609666667,193.1866856,0.467317572,-19.97506518,0.049319712,-25.67133163,0.384619808,230.8124686,1.486142865,NA,0.286231013,240.7494718,NA,0.745753268,0.768486241,NA,NA,NA,NA,NA
Blues,0.058223301,136.941669,0.748538462,138.608428,0.582636364,105.28226,0.72054466,-10.67578641,0.047306078,-21.50980777,0.329422006,135.0976821,-0.948841181,NA,0.832936221,138.6083903,NA,0.733704081,0.723275451,NA,NA,NA,1,NA
Blues,0.125294118,123.3545933,0.669511482,124.371676,0.489416667,98.14001,0.574687728,-9.850787363,0.039808226,-17.83297448,0.366564399,125.361363,8.829331409,NA,0.415862213,124.5000931,NA,0.445182872,0.527388744,NA,NA,NA,1,NA
Jazz,0.077542857,124.2665994,0.363334262,125.9913591,0.476888889,96.72971556,0.600611048,-15.45659639,0.050913258,-23.54304284,0.299607384,126.3207429,-3.438290962,NA,0.411305116,125.9929811,NA,0.745891035,0.743972253,NA,NA,NA,1,NA
Electronic,0.11952,57.8262796,0.465975369,59.58343394,0.549625,59.57569625,0.748324022,-12.35972439,0.051599777,-24.58289385,0.389577747,59.62304622,12.93956347,NA,0.418965644,59.58356292,NA,0.629646053,0.732313028,NA,NA,NA,NA,NA
Pop,0.076145455,100.8531424,0.359035842,103.8162689,0.6048,65.216226,0.504118598,-9.417698113,0.071401415,-16.25363208,0.35030155,97.8806731,6.271885332,NA,0.124369176,104.0569483,NA,0.431940016,0.520357152,NA,NA,NA,1.222222222,NA
Rock,0.136915584,149.7359158,0.379032,151.8496211,0.554454545,152.4485664,0.536028311,-16.9813726,0.0689241,-24.12640731,0.320989269,152.7176243,5.491561948,NA,0.2332304,151.729478,NA,0.587454553,0.699297899,NA,NA,NA,NA,NA
Rock,0.134494382,92.01306169,0.596224377,93.03567413,0.586875,69.4723875,0.62369246,-9.644426587,0.054299782,-17.17757738,0.336534226,91.3573654,11.35432027,NA,0.276455679,93.16411976,NA,0.410716983,0.467778394,NA,NA,NA,1.2,NA
World,0.158503597,133.6377149,0.651356506,134.5992803,0.672714286,102.76107,0.674854701,-9.803039627,0.032351282,-20.10338772,0.362410321,135.1244751,10.68625278,NA,0.648018733,134.5992484,NA,0.67955131,0.718747763,NA,NA,NA,NA,NA
Electronic,0.143063636,209.2993954,0.657531532,211.6794028,0.472583333,134.0218975,0.583644144,-16.06941104,0.061649797,-24.12019482,0.299154936,228.4133426,3.486454298,NA,0.566106982,211.4414068,NA,0.441388704,0.495310054,NA,NA,NA,1.916666667,NA
Pop,0.518136986,67.91071161,0.518136986,67.91071161,0.538875,60.06901875,0.653207547,-10.84589099,0.074154885,-19.70249895,0.389782495,68.10255937,13.6339247,NA,0.470434932,68.02671462,NA,0.61635663,0.623135431,NA,NA,NA,1,NA
Country,0.215794521,95.99119,0.329679868,97.60634145,0.497,85.90780778,0.343127469,-15.90884022,0.070956697,-20.37081688,0.245821065,94.34486309,-0.433341562,NA,0.092543956,97.49936475,NA,0.683909682,0.695192174,NA,NA,NA,NA,NA
Pop,0.048074074,60.24733,0.291287425,58.6558891,0.570333333,64.30069833,0.400012346,-13.58474383,0.099213086,-18.56670988,0.284666667,55.67619466,3.163947788,NA,0.089913828,58.65695523,NA,0.399706621,0.598096983,NA,NA,NA,1.428571429,NA
